label,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57,sample58,sample59,sample60,sample61,sample62,sample63,sample64,sample65,sample66,sample67,sample68,sample69,sample70,sample71,sample72,sample73,sample74,sample75,sample76,sample77,sample78,sample79,sample80,sample81,sample82,sample83,sample84,sample85
0,1.6314,-0.23386,-1.0124,-0.98238,-0.91513,-0.48375,1.2682,0.59675,1.1128,-0.063825,-0.88404,-0.58642,-0.94045,-0.38996,1.7144,1.4771,1.3378,0.0096751,-0.89515,-0.84187,-1.3989,0.046725,1.1786,0.79876,1.2866,-0.77509,-0.40681,-0.79834,-0.80501,-0.1633,1.2751,1.0967,1.8743,-0.79035,-0.82891,-0.34767,2.2608,-0.66969,-0.66085,-1.2157,-1.3062,0.49656,1.8318,0.92352,1.029,0.092008,-0.69988,-0.95129,1.006,-0.71743,-1.0224,-0.84442,1.1611,-0.51803,-1.1756,-0.46203,1.1625,-0.030283,-0.83266,-0.21394,1.5688,-0.44091,-0.76097,-0.70966,1.5837,0.27099,-1.0159,-0.2535,1.5659,-0.72883,-0.89739,-0.1971,1.1462,-1.0176,-0.7325,-1.4546,-0.61705,0.13272,1.5906,0.5119,0.91648,-0.80255,-1.0909,-0.67221,1.3003
0,0.52446,-1.1186,-0.72705,1.0058,0.57021,-0.78624,-0.86641,1.3513,0.37971,-0.96799,-1.142,-1.3313,-0.57648,1.1188,0.83253,1.6341,0.15726,-0.84706,-1.2738,-0.94864,-0.706,1.5976,0.06806,-1.2172,-0.81154,1.4458,0.34,-1.0917,-0.62103,1.2526,1.1662,0.72567,0.27872,-1.3075,-0.92338,-1.2033,-0.6741,1.6954,0.43282,-1.007,-0.89805,1.3653,0.42163,-1.1051,-1.0712,1.3805,0.26217,-0.98948,-0.81887,1.4717,0.68363,-0.70434,-0.71966,1.6126,0.18492,-1.0438,-0.68515,1.1025,1.1003,0.94892,0.6342,-0.85521,-0.43029,1.416,0.42133,-1.3225,-0.73197,1.3924,0.45347,-0.99943,-1.2343,-0.97841,-0.61605,0.96043,0.62162,1.3879,0.69198,-1.0993,-0.53294,1.3618,0.65013,-1.3716,-0.5493,1.5725,0.23054
0,1.0085,1.0303,0.57576,-0.97689,-0.84913,1.1522,0.68773,-1.1936,-0.75509,1.1662,0.81727,-1.0359,-1.0117,-0.99704,-0.82293,1.1074,1.1974,1.1454,0.46303,-1.1226,-0.91685,-1.0743,-0.64235,1.2048,1.0811,1.1605,0.48548,-1.0748,-0.88437,-1.173,-0.75615,1.1505,0.5218,-1.1977,-0.88135,1.0817,0.64051,-1.1776,-0.88327,1.2878,0.49452,-1.2025,-0.98738,1.1696,1.2021,1.1522,0.51186,-1.0619,-0.99264,-1.072,-0.86254,1.1887,0.73136,-1.2124,-0.74994,1.1635,1.0262,1.2486,0.67457,-0.9752,-0.87001,-1.0895,-0.72949,1.1395,0.71203,-1.2225,-0.81975,1.1755,0.62209,-1.0906,-0.74329,1.2286,1.1551,1.134,0.78635,-1.1038,-0.90482,-1.0487,-0.7817,1.0791,1.0738,1.1108,0.4517,-1.1385,-1.1116
0,1.2784,1.0328,-0.67008,-1.1431,0.78231,0.40581,-0.91347,-1.0179,1.0771,0.44454,-1.2483,-1.0796,0.50345,1.0596,1.3026,0.72858,-0.82222,-1.0626,-0.78138,-0.94793,1.3209,0.36575,-0.89692,-0.57799,1.277,1.2307,1.2943,0.70781,-0.54394,-0.651,-1.2773,-0.84252,1.005,0.43045,-1.1339,-1.0418,1.3352,1.2371,-0.80867,-0.83292,1.5593,0.56274,-1.0788,-1.1021,1.3761,0.89722,0.78228,0.68676,-1.2597,-1.1736,0.85074,0.69527,-0.97811,-0.73375,-1.1041,-1.0232,1.0067,0.86534,1.2312,0.64638,-1.0402,-1.1081,0.96046,0.81532,-1.2932,-1.1408,-1.104,-0.88408,1.3068,1.0643,1.5349,0.94663,-0.51786,-1.0445,-1.2373,-0.99256,0.57738,1.0186,0.97599,0.49173,-0.76015,-0.86949,-1.1465,-0.80315,1.0173
0,-0.40183,1.4425,0.050199,-1.128,-0.41943,1.6047,1.1606,1.2207,0.098517,-1.1573,-1.1933,-1.2573,-0.46313,1.2138,0.17511,-1.0934,-0.29374,1.4116,0.86591,1.0443,0.042717,-1.3265,-1.2187,-1.2019,-0.55479,1.271,-0.15496,-1.0683,-0.38371,1.2688,0.99183,0.97731,-0.083661,-1.1995,-0.16483,1.5998,0.18701,-1.1275,-1.1767,-1.2344,-0.45988,1.2789,0.96796,1.0905,-0.039179,-1.1183,-0.2985,1.6063,0.2075,-1.1397,-0.32672,1.7076,-0.040694,-0.96854,-1.2148,-1.3039,-0.56118,1.1559,-0.042655,-1.1529,-0.45408,1.3574,0.088201,-1.1281,-0.39242,1.3771,1.1104,1.1304,-0.032307,-1.3767,-1.1758,-1.3288,-0.32352,1.4214,0.97545,0.97912,-0.089393,-1.2258,-0.21106,1.5531,0.19236,-1.2785,-0.19102,1.4072,-0.055941
0,-1.2634,-1.2076,0.17836,1.5245,0.95137,1.2854,-0.33647,-0.94539,-1.1808,-1.2093,-0.20705,1.4135,1.0883,1.2344,-0.21721,-0.9669,0.078026,1.5411,-0.44572,-0.97916,-0.047594,1.4716,-0.25241,-0.97335,-0.12642,1.5833,-0.16677,-1.3015,-0.021552,1.4123,-0.27052,-0.99918,-1.301,-1.0733,-0.073843,1.4579,0.79925,1.3074,-0.25217,-1.0153,-1.3478,-1.1807,-0.379,1.4911,-0.26185,-1.0372,-0.048307,1.2384,0.96456,1.3214,-0.26592,-1.1917,-1.3861,-1.1257,-0.10594,1.4195,-0.16204,-0.86612,-0.0039806,1.4762,-0.28782,-1.0204,-0.0042538,1.5323,-0.21999,-1.0342,-0.10004,1.5682,0.9679,1.3832,-0.30629,-1.1091,-0.95911,-1.3642,0.022055,1.5935,-0.19482,-1.0898,0.0054985,1.5183,-0.0085169,-1.1046,-0.2424,1.425,-0.011675
0,1.2328,0.73097,-1.0491,-0.32829,1.4417,0.79507,-1.057,-0.93426,1.2279,0.61382,-0.82025,-0.30876,1.5255,1.1871,1.2004,0.64426,-0.92937,-0.76115,1.2935,0.78294,-1.2989,-0.85107,-1.201,-1.1427,0.90908,0.86204,1.1337,0.68898,-0.95295,-1.2122,1.4905,0.47999,-1.2767,-1.0037,-0.93572,-0.42998,0.72912,0.35188,-1.1848,-1.0463,0.86193,0.52622,0.77307,0.27357,-1.0524,-0.74881,-1.1872,-0.75711,1.2885,1.6348,0.98623,0.69992,-1.238,-1.0258,-0.93249,-0.83055,1.2809,0.99039,0.56921,0.70119,-0.89964,-0.85729,-1.051,-0.9482,1.0741,0.39987,-0.97603,-1.1604,1.282,0.57066,-0.84861,-0.79622,1.2722,0.93497,1.3673,1.0405,-1.0998,-1.2743,-1.1186,-1.1501,1.04,0.83202,-0.83833,-0.92066,0.71514
0,-0.84304,1.3837,0.31069,-0.9084,-0.34744,1.5888,0.42116,-0.81082,-0.62575,1.7138,-0.01006,-1.1479,-0.59745,2.0003,0.31126,-1.24,-0.55076,1.6242,0.073525,-0.97418,-0.39632,1.4945,0.308,-0.96575,-0.60386,1.6841,0.25237,-1.1612,-0.85854,1.6216,0.12732,-0.9618,-0.72278,1.3204,0.22568,-0.89358,-0.75086,1.5315,0.19175,-1.2252,-0.33834,1.5608,-0.061231,-1.1149,-0.62259,1.7008,0.24396,-1.1187,-0.75246,1.251,0.51886,-1.2645,-0.61387,1.581,-0.048924,-0.8022,-0.55571,1.5038,0.22816,-0.72876,-0.80006,1.3835,-0.027009,-0.83246,-0.92553,1.7293,0.41027,-1.1308,-0.66303,1.3075,0.19031,-1.1161,-1.0438,1.4788,-0.033871,-0.94456,-0.48829,1.3738,-0.13029,-1.2051,-0.59813,1.4571,0.023981,-0.88583,-0.68499
0,-0.89414,-0.36658,1.2007,0.79428,0.96947,0.52821,-0.56136,-1.1849,-0.99096,-0.83171,1.359,1.2156,0.80767,-0.16909,-1.2587,-1.0335,-0.96346,-0.72206,0.99582,1.1532,1.1872,0.33387,-0.83403,-0.97515,-0.91567,-0.6206,1.5679,0.44136,-1.2735,-1.1461,1.3802,0.40273,-0.95875,-0.71235,0.76145,0.81542,-1.0806,-0.61554,1.3381,0.20567,-0.94599,-0.53589,0.91268,0.39337,-1.1947,-0.90717,1.553,1.0432,-0.97108,-0.80198,1.5087,0.32426,-1.1036,-0.57137,1.6953,0.48426,-1.1849,-1.0273,1.4206,0.68984,-1.0034,-1.1704,1.1897,0.62314,-0.68302,-0.65855,1.56,0.56434,-0.86036,-0.5991,1.4197,1.4039,1.5969,0.52635,-1.0769,-0.9263,1.3777,0.30349,-1.0789,-1.3014,-1.1541,-0.71844,1.1358,0.16432,-0.76488
0,0.82583,0.97697,-1.0304,-0.85898,0.74735,0.93536,-0.81622,-1.0135,0.84455,0.99175,-0.95209,-1.0675,0.89917,1.0146,-1.1144,-0.98735,0.9715,1.0181,0.8965,1.138,-1.091,-0.9253,-1.1133,-1.1531,0.56852,1.4897,1.0862,0.9775,-0.96375,-1.1675,0.90514,0.97646,-1.1144,-1.0948,0.80284,1.0278,-1.0291,-1.0228,-1.0046,-0.99737,0.7301,1.0098,-1.0294,-1.1482,0.83971,1.3098,1.0616,0.92645,-0.95034,-1.0324,-1.0583,-0.92303,0.74294,0.92802,-0.94389,-1.0566,0.84618,1.1297,-0.99829,-1.1546,0.73425,0.94013,-1.0218,-1.0474,0.77977,1.093,1.0775,0.89569,-0.99561,-1.0591,0.77055,1.0808,-0.99248,-0.97294,-1.1324,-1.0534,0.81238,1.0227,-0.9151,-0.96106,0.80753,1.1376,1.1389,0.94713,-0.89242
0,0.90646,-0.36924,-0.99712,-1.2284,-1.1359,0.068503,1.6086,-0.26905,-0.53874,-0.47662,1.6369,0.20321,-0.97526,-0.22628,1.3927,-0.3921,-0.64425,-0.048936,1.3971,1.1216,1.1891,-0.50076,-1.1516,-0.20204,1.0777,-0.11561,-0.98527,-0.99448,-0.86575,-0.15839,1.5923,-0.12509,-1.0594,-0.018121,1.4345,1.2219,1.3413,-0.34065,-0.95509,-1.0504,-1.2805,0.0011904,1.4518,1.0647,1.3941,-0.65333,-1.1802,-1.1929,-0.89987,0.14495,1.3536,1.2493,1.1837,-0.43913,-1.132,-1.1994,-1.1189,0.1663,1.4844,0.77267,1.357,-0.42373,-1.2307,-1.2271,-1.0399,-0.17737,1.6055,-0.39733,-1.1974,-0.10885,1.3119,1.3333,1.1794,-0.25396,-1.0989,-0.066025,1.5365,-0.11202,-0.99477,-1.0642,-1.2102,-0.053503,1.656,-0.068154,-0.79348
0,0.67146,-1.1471,-0.79243,0.14616,0.8287,-0.91753,-1.0311,0.49889,0.8329,-0.80441,-0.9706,-1.0758,-1.04,-0.2866,1.2178,0.75789,1.1161,-0.4439,-0.62423,-1.1486,-1.1117,0.11672,1.6337,-0.51247,-0.90092,0.4315,1.3712,-0.89645,-1.0264,0.067215,1.8179,0.47472,0.95449,-0.51968,-0.85468,-1.3124,-1.0191,0.22689,0.83791,1.4306,1.9961,-0.18514,-1.2053,-1.0606,-0.37786,-0.025997,1.439,1.6122,0.96523,-1.2132,-0.71918,-0.86995,-0.94638,-0.1648,1.6073,2.1006,1.4501,-0.6273,-0.7038,-0.54151,-1.0026,-0.18753,1.3763,1.0583,1.2777,-0.36376,-0.82528,0.6266,1.0836,-1.1743,-0.77902,-0.9743,-1.0075,-0.26865,1.302,1.0458,1.0701,-0.84009,-0.82588,0.16977,1.2319,-1.2631,-1.1774,0.041363,0.87985
0,-1.2075,-0.41228,1.1621,0.39386,-1.3303,-0.91786,1.1822,0.54091,1.1826,0.69507,-0.99634,-0.73949,1.4697,0.30641,-1.075,-0.41244,1.2171,0.51825,-1.1288,-0.73628,1.0007,0.56411,-0.79561,-0.87597,1.3471,0.37314,-0.9778,-1.1523,-1.342,-0.58535,1.114,0.82706,1.6306,0.15016,-0.85658,-1.2844,-0.9584,-0.71517,1.594,0.060746,-1.2276,-0.82097,1.4418,0.33334,-1.1018,-0.63,1.2481,1.1616,0.71994,0.27191,-1.3181,-0.93309,-1.2137,-0.6832,1.692,0.42638,-1.0169,-0.90769,1.3611,0.41517,-1.1153,-1.0813,1.3764,0.25533,-0.99934,-0.82832,1.4678,0.6778,-0.71352,-0.72887,1.609,0.17789,-1.0538,-0.69428,1.0977,1.0954,0.94373,0.62825,-0.86475,-0.4388,1.4119,0.41486,-1.3332,-0.74121,1.3882
0,0.99567,0.81562,-1.0879,-1.0869,-0.85482,-0.90657,1.093,0.69429,-1.0144,-0.8838,0.91519,1.0007,1.0894,0.78641,-1.0062,-0.95925,-1.1528,-0.87718,1.1498,0.95746,0.99828,0.84529,-1.1494,-1.1127,-0.90773,-1.0247,0.92129,1.2219,1.1315,0.68721,-0.98025,-0.97648,-1.0748,-0.84098,1.0089,1.2214,1.1238,0.94532,-0.98915,-0.89726,0.96219,0.78185,-1.0266,-0.99899,-1.0405,-1.0684,0.98224,0.88925,-0.90363,-1.1169,0.87034,0.89199,-1.0632,-0.88996,0.88689,1.1975,1.2499,0.75229,-1.1278,-1.1431,-0.84783,-0.83394,1.027,1.15,1.1178,0.84089,-1.1082,-1.1075,-0.99701,-0.86376,0.95787,1.3037,1.0876,0.89076,-0.9076,-1.1044,0.84034,0.72284,-1.0146,-0.85595,1.0248,0.87862,-1.1283,-0.95282,0.975
