label,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57,sample58,sample59,sample60,sample61,sample62,sample63,sample64,sample65,sample66,sample67,sample68,sample69,sample70,sample71,sample72,sample73,sample74,sample75,sample76,sample77,sample78,sample79,sample80,sample81,sample82,sample83,sample84,sample85
0.0,1010.0,1660.2,272.16,53.413,25.495,21.954,13.892,64.661,19.026,31.257,83.006,50.16,53.852,14.765,45.88,42.45,77.936,21.26,99.73,77.782,16.031,43.046,41.11,13.892,36.056,76.105,49.204,38.053,23.324,61.522,55.946,65.069,101.21,138.65,57.585,44.147,24.597,58.31,28.231,38.949,35.609,29.411,80.062,30.887,18.385,70.434,80.709,36.401,25.0,65.215,26.833,39.962,23.431,99.298,40.497,14.318,21.378,56.045,22.672,25.495,54.129,24.187,45.277,7.8102,57.628,22.672,34.015,43.186,121.43,61.814,46.84,30.48,14.036,14.318,43.046,74.673,158.62,37.656,56.036,44.777,55.073,179.81,1510.9,987.69,40.46
4.0,568.92,1836.9,632.66,53.413,25.495,21.954,13.892,64.661,19.026,31.257,83.006,50.16,53.852,14.765,45.88,42.45,77.936,21.26,99.73,77.782,16.031,43.046,41.11,13.892,36.056,76.105,49.204,38.053,23.324,61.522,55.946,65.069,101.21,138.65,57.585,44.147,24.597,58.31,28.231,38.949,35.609,29.411,80.062,30.887,18.385,70.434,80.709,36.401,25.0,65.215,26.833,39.962,23.431,99.298,40.497,14.318,21.378,56.045,22.672,25.495,54.129,24.187,45.277,7.8102,57.628,22.672,34.015,43.186,121.43,61.814,46.84,30.48,14.036,14.318,43.046,1049.4,1505.5,145.99,56.036,44.777,55.073,495.36,1768.1,720.47,40.46
400.0,733.03,1641.2,389.38,53.413,25.495,21.954,13.892,64.661,19.026,31.257,83.006,50.16,53.852,14.765,45.88,42.45,77.936,21.26,99.73,77.782,16.031,43.046,41.11,13.892,36.056,76.105,49.204,38.053,23.324,61.522,55.946,65.069,101.21,138.65,57.585,44.147,24.597,58.31,28.231,38.949,35.609,29.411,80.062,30.887,18.385,70.434,80.709,36.401,25.0,65.215,26.833,39.962,23.431,99.298,40.497,14.318,21.378,56.045,22.672,25.495,54.129,24.187,45.277,7.8102,57.628,22.672,34.015,43.186,121.43,61.814,153.84,1506.4,835.82,14.318,43.046,74.673,158.62,37.656,56.036,44.777,55.073,256.09,1673.3,986.88,40.46
404.0,847.04,1746.2,309.05,53.413,25.495,21.954,13.892,64.661,19.026,31.257,83.006,50.16,53.852,14.765,45.88,42.45,77.936,21.26,99.73,77.782,16.031,43.046,41.11,13.892,36.056,76.105,49.204,38.053,23.324,61.522,55.946,65.069,101.21,138.65,57.585,44.147,24.597,58.31,28.231,38.949,35.609,29.411,80.062,30.887,18.385,70.434,80.709,36.401,25.0,65.215,26.833,39.962,23.431,99.298,40.497,14.318,21.378,56.045,22.672,25.495,54.129,24.187,45.277,7.8102,57.628,22.672,34.015,43.186,121.43,61.814,634.61,1854.2,451.62,14.318,43.046,393.78,1620.0,613.07,56.036,44.777,55.073,250.02,1629.4,887.81,40.46
2.0,665.26,1962.3,586.41,53.413,25.495,21.954,13.892,64.661,19.026,31.257,83.006,50.16,53.852,14.765,45.88,42.45,77.936,21.26,99.73,77.782,16.031,43.046,41.11,13.892,36.056,76.105,49.204,38.053,23.324,61.522,55.946,65.069,101.21,138.65,57.585,44.147,24.597,58.31,28.231,38.949,35.609,29.411,80.062,30.887,18.385,70.434,80.709,36.401,25.0,65.215,26.833,39.962,23.431,99.298,40.497,14.318,21.378,56.045,22.672,25.495,54.129,24.187,45.277,7.8102,334.01,1653.5,730.24,43.186,121.43,61.814,46.84,30.48,14.036,14.318,43.046,74.673,158.62,37.656,56.036,44.777,55.073,811.89,1687.0,314.57,40.46
6.0,560.62,1832.1,555.67,53.413,25.495,21.954,13.892,64.661,19.026,31.257,83.006,50.16,53.852,14.765,45.88,42.45,77.936,21.26,99.73,77.782,16.031,43.046,41.11,13.892,36.056,76.105,49.204,38.053,23.324,61.522,55.946,65.069,101.21,138.65,57.585,44.147,24.597,58.31,28.231,38.949,35.609,29.411,80.062,30.887,18.385,70.434,80.709,36.401,25.0,65.215,26.833,39.962,23.431,99.298,40.497,14.318,21.378,56.045,22.672,25.495,54.129,24.187,45.277,7.8102,714.38,1732.3,413.44,43.186,121.43,61.814,46.84,30.48,14.036,14.318,43.046,645.52,1751.8,408.54,56.036,44.777,55.073,509.65,1801.2,692.93,40.46
402.0,562.51,1714.7,527.95,53.413,25.495,21.954,13.892,64.661,19.026,31.257,83.006,50.16,53.852,14.765,45.88,42.45,77.936,21.26,99.73,77.782,16.031,43.046,41.11,13.892,36.056,76.105,49.204,38.053,23.324,61.522,55.946,65.069,101.21,138.65,57.585,44.147,24.597,58.31,28.231,38.949,35.609,29.411,80.062,30.887,18.385,70.434,80.709,36.401,25.0,65.215,26.833,39.962,23.431,99.298,40.497,14.318,21.378,56.045,22.672,25.495,54.129,24.187,45.277,7.8102,114.83,1467.6,1140.0,43.186,121.43,61.814,529.97,1637.3,465.43,14.318,43.046,74.673,158.62,37.656,56.036,44.777,55.073,888.41,1679.7,236.0,40.46
406.0,1106.7,1630.7,57.271,53.413,25.495,21.954,13.892,64.661,19.026,31.257,83.006,50.16,53.852,14.765,45.88,42.45,77.936,21.26,99.73,77.782,16.031,43.046,41.11,13.892,36.056,76.105,49.204,38.053,23.324,61.522,55.946,65.069,101.21,138.65,57.585,44.147,24.597,58.31,28.231,38.949,35.609,29.411,80.062,30.887,18.385,70.434,80.709,36.401,25.0,65.215,26.833,39.962,23.431,99.298,40.497,14.318,21.378,56.045,22.672,25.495,54.129,24.187,45.277,7.8102,692.81,1534.6,298.8,43.186,121.43,61.814,449.63,1691.4,620.0,14.318,43.046,784.97,1564.4,288.62,56.036,44.777,55.073,936.39,1435.3,234.45,40.46
200.0,1100.6,1658.0,227.55,53.413,25.495,21.954,13.892,64.661,19.026,31.257,83.006,50.16,53.852,14.765,45.88,42.45,77.936,21.26,99.73,77.782,16.031,43.046,41.11,13.892,36.056,76.105,49.204,38.053,23.324,61.522,55.946,65.069,101.21,138.65,57.585,44.147,24.597,58.31,28.231,38.949,35.609,29.411,80.062,30.887,18.385,70.434,80.709,36.401,25.0,65.215,26.833,39.962,23.431,99.298,40.497,14.318,21.378,56.045,153.17,1679.7,1034.2,24.187,45.277,7.8102,57.628,22.672,34.015,43.186,121.43,61.814,46.84,30.48,14.036,14.318,43.046,74.673,158.62,37.656,56.036,44.777,55.073,842.41,1769.2,367.16,40.46
204.0,564.99,1867.1,527.11,53.413,25.495,21.954,13.892,64.661,19.026,31.257,83.006,50.16,53.852,14.765,45.88,42.45,77.936,21.26,99.73,77.782,16.031,43.046,41.11,13.892,36.056,76.105,49.204,38.053,23.324,61.522,55.946,65.069,101.21,138.65,57.585,44.147,24.597,58.31,28.231,38.949,35.609,29.411,80.062,30.887,18.385,70.434,80.709,36.401,25.0,65.215,26.833,39.962,23.431,99.298,40.497,14.318,21.378,56.045,320.22,1695.4,915.73,24.187,45.277,7.8102,57.628,22.672,34.015,43.186,121.43,61.814,46.84,30.48,14.036,14.318,43.046,552.56,1737.5,565.0,56.036,44.777,55.073,1016.3,1520.7,174.05,40.46
